,City,Title,Company,Location,Job Summary,Salary
16734,Austin,Research Engineering/ Scientist Associate I (Exempt) - Colla...,University of Texas at Austin,"Austin, TX",Software or Data Carpentry concepts; Collaborate with domain experts to create relevant data exploration and visualization applications;...,49992.0
16735,Austin,Computer Scientist/Software Engineer,"Signature Science, LLC","Austin, TX 78759 (Arboretum area)","Computer Science support to the research, development, test and evaluation of tools or algorithms that support rapid, accurate and automated analysis and...",79000.0
16747,Austin,Social Science/Humanities Research Associate V (Exempt) - Su...,University of Texas at Austin,"Austin, TX",Analyze data using Tableau; The Survey Coordinator and Data Analyst will:. Prepare seed data required for sampling and/or survey administration;...,67992.0
16757,Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,University of Texas at Austin,"Austin, TX","Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution/acquisition and low-rate...",102498.0
16758,Austin,Software Development Engineers (Core Java),Winston Fox,"Austin, TX","In this role you will be working across the SDLC and collaborating closely with quantitative scientists, traders, senior business stake holders and other...",160000.0
16761,Austin,Engineering Scientist Associate - Information Systems Engine...,University of Texas at Austin,"Austin, TX","Develop and manage automated scripts for remote sensor system monitoring, and data transfer and archiving. Support operation and development of networked remote...",71400.0
16774,Austin,Research Engineering/ Scientist Associate IV (Exempt) - Radi...,University of Texas at Austin,"Austin, TX","Strong analytical skills and experience with 1) developing methods for mass spectrometry, 2) data reduction for radiogenic and stable isotope analysis, and 3)...",64998.0
20655,Jacksonville,Market Research Analyst,"ECL & Associates, Inc","Jacksonville, FL","Collaborate with data engineers to aggregate, analyze, and validate data. Leverage data to build models, deliver context and insight for a growing industry....",32500.0
23712,Los Angeles,Research Analyst,Rio Hondo College,"Whittier, CA",Data reduction and display techniques. Conduct appropriate literature and data searches. Interpersonal skills with professional and other lay audiences...,71820.0
23912,Los Angeles,Quality Assurance Technician,Calpack Foods,"Torrance, CA 90501","Generate spreadsheets for data collection. Together with suppliers, customers and the expertise of food scientists, we help customers to grow and succeed by...",24000.0
23985,Los Angeles,Research Analyst,Vital Research,"Los Angeles, CA 90048",Conduct basic quantitative and qualitative data analysis; Support development of instruments and data collection protocols;...,55000.0
24023,Los Angeles,CLINICAL LABORATORY SCIENTIST I (Blood Bank),Los Angeles County Department of Human Resources,"Los Angeles, CA","Enters test results, quality control and improvement data. Six (6) months experience as a Clinical Laboratory Scientist in an approved laboratory*....",84552.0
24106,Los Angeles,CLINICAL LABORATORY SCIENTIST I (North County),Los Angeles County Department of Human Resources,"Los Angeles, CA","Enters test results, quality control and improvement data. Clinical Laboratory Scientist license issued by the State of California Deparment of Health Services....",73860.0
24121,Los Angeles,Data Scientist / Analyst,Platinum Enterprise Solutions,"Los Angeles, CA 90001","Data Scientist/Analyst6+ months contractPlaya Vista, CA Job DescriptionOur organization is currently in need of a Data Scientist/Analyst to join our fast...",80000.0
24151,Los Angeles,"RESEARCH ANALYST II, BEHAVIORAL SCIENCES",Los Angeles County Department of Human Resources,"Los Angeles, CA","Research experience working with Statistical Analysis Software (SAS) package, Microsoft ACCESS, and Microsoft Excel to import/export, manage large data sets...",64213.0
24191,Los Angeles,Bioinformatics Programmer,USC,"Los Angeles, CA","Additionally, the candidate will develop and maintain data processing applications and reference databases hosted on local Linux servers....",93500.0
24242,Los Angeles,"Sr Database Dev/Data Scientist (Hadoop,Apache Apex,Kafka,Dri...",Clout.Com,"Los Angeles, CA 90036","Perform data mining, data cleansing, data manipulation functions, caching, and indexing functions. Design and deploy data entry / data management tools and...",130000.0
24283,Los Angeles,Investigations & Research Analyst,Gavin de Becker & Associates,"Beverly Hills, CA","Mission & Service Los Angeles, CA Gavin de Becker & Associates is a dynamic security firm innovating threat assessment and public figure protection.",42500.0
24284,Los Angeles,"MEDICAL TECHNOLOGIST, LABORATORY INFORMATION SYSTEMS",Los Angeles County Department of Human Resources,"Los Angeles, CA","Clinical Laboratory Scientist, Limited Clinical Laboratory Scientist, Clinical Microbiologist Scientist License, or Public Health Microbiologist Certificate...",88765.0
24330,Los Angeles,Computer Vision Data Scientist,MACP Los Angeles,"Los Angeles, CA",We are looking for a Senior Data Scientist with experience applying state of the art machine learning algorithms to massive data sets.Some of the projects that...,185000.0
24372,Los Angeles,SUPERVISING CLINICAL LABORATORY SCIENTIST III,Los Angeles County Department of Human Resources,"Los Angeles, CA",Evaluates the performance of subordinate Supervising Clinical Laboratory Scientists and reviews their evaluations of clinical laboratory scientists and...,97476.0
24391,Los Angeles,Data Scientist,Smith Hanley Associates,"Calabasas, CA",Data Scientist Responsibilities:. Use programming languages to analyze data. Expert in data mining and marketing analytics....,120000.0
24392,Los Angeles,Clinical Laboratory Scientist,CooperGenomics,"Los Angeles, CA",Current or imminent State of California Clinical Laboratory Scientist license.*. We have an exciting opportunity for a Clinical Laboratory Scientist at our Los...,65000.0
24403,Los Angeles,Senior Data Scientist,All-In Analytics,"Los Angeles, CA",HEAD DATA SCIENTIST. The Head Data Scientist is also responsible for bringing innovative ideas in analytics to business leadership....,165000.0
24433,Los Angeles,Mobile Director,LT,"Los Angeles, CA","There is currently three Data Scientists. Data Science is using R, Hadoop, Spark, Python and more. My client a leading consumer facing Application Company...",225000.0
24434,Los Angeles,Principal Data Scientist,HERO.jobs,"Los Angeles, CA",They need a Lead or Principal level Data Scientist who is an expert with Neural Networks and Machine Learning to work with a talented team based near Culver...,200000.0
24444,Los Angeles,Senior iOS Developer,LT,"Los Angeles, CA","There is currently three Data Scientists. Data Science is using R, Hadoop, Spark, Python and more. My client a leading consumer facing Application Company...",170000.0
24466,Los Angeles,"Application Scientist, Pre-Clinical",TriFoil Imaging,"Chatsworth, CA 91311","Knowledge in detailed observations, data and process analysis. We are looking for an Application Scientist with In-Vivo Optical Imaging experience to join our...",90000.0
24504,Los Angeles,STEM Research Grant Developer (Administrative Analyst/Specia...,Cal State Fullerton,"Fullerton, CA","Ability to collect, evaluate, and interpret data to develop sound conclusions and make appropriate recommendations....",73860.0
24505,Los Angeles,Institutional Large-Scale Research Grant Developer (Administ...,Cal State Fullerton,"Fullerton, CA","Ability to collect, evaluate, and interpret data to develop sound conclusions and make appropriate recommendations....",73860.0
24506,Los Angeles,STEM Research Grant Developer (Administrative Analyst/Specia...,California State University - Fullerton,"Fullerton, CA","Ability to collect, evaluate, and interpret data to develop sound conclusions and make appropriate recommendations....",73860.0
24507,Los Angeles,Institutional Large-Scale Research Grant Developer (Administ...,California State University - Fullerton,"Fullerton, CA","Ability to collect, evaluate, and interpret data to develop sound conclusions and make appropriate recommendations....",73860.0
24508,Los Angeles,LC/MS Clinical Laboratory Scientist,Lighthouse Recruiting,"Pasadena, CA","Join our Medical Laboratory Scientists Groups:. And also performing quantitative analysis, data review and certifying and releasing results....",95000.0
27835,Philadelphia,Data Scientist - PowerPoint,"Computer Enterprises, Inc. (CEI)","Philadelphia, PA",Computer Enterprises has an opening for a Data Scientist for our client in center city Philadelphia. Experience with data science and statistics principals a...,100000.0
27878,Philadelphia,Data Scientist,Workbridge Associates,"Philadelphia, PA",One of the most innovative and bleeding edge energy companies is looking to step up its data scientist team in a big way over the next year....,104000.0
27879,Philadelphia,"Data Scientist - Machine Learning, Team Buildout",Workbridge Associates,"Philadelphia, PA",Experience creating Data Visualization; They do also have a Lead Data Scientists and management in place to bring in and introduce a new Scientist to their...,97500.0
27963,Philadelphia,Data Analytics Engineer,CEI,"Philadelphia, PA",Data Analytics Engineer*. An experienced data software engineer who have been working with large-scale and distributed data pipelines....,85000.0
28090,Philadelphia,Senior Data Scientist Healthcare,Harnham,"Philadelphia, PA","Senior Data Scientist - Healthcare. Reporting to the Director of the Data Science team, as a Senior Data Scientist you will be solving some of healthcare's most...",170000.0
28186,Philadelphia,Intellectual Property Analyst,Hunter International,"Wilmington, DE","Information Scientist, 13309*. The ideal candidate is broadly familiar with industrial research documentation and data....",89600.0
28240,Philadelphia,Data Scientist,Smith Hanley Associates,"Philadelphia, PA",Data Scientist Qualifications:. Data Scientist Position Overview:. Data Scientist Nice to Have Qualifications:....,130000.0
28284,Philadelphia,Market Research Analyst/Quality Assurance,"RDAssociates, Inc.","Narberth, PA",Marketing Research and Consulting Firm seeks an individual to assist the Project Manager in conducting mystery shopping/quality assurance services.,19200.0
28336,Philadelphia,Data Scientist/Machine Learning Specialist,Jobspring Partners,"Philadelphia, PA","A leading healthcare analytical team, one of the world's best within the life sciences industry, is seeking a Machine Learning Specialist/ Data Scientist join...",130000.0
28363,Philadelphia,"Data Analyst/Scientist (SAS, Python, SQL)",Jobspring Partners,"Philadelphia, PA",A health services company that leverages technology to help their clients gain access to a breadth of unused data is looking to bring on a Data Analyst...,105000.0
28380,Philadelphia,Data Scientist/Optimization Engineer,Jobspring Partners,"Philadelphia, PA",In this role you will be extracting power plant data to create algorithms that increase efficiency. An innovative energy solutions company is looking to add a...,112500.0
28411,Philadelphia,"Research Scientist (Gene Therapy, Molecular Cloning, ELISA)",Apex Life Sciences,"Philadelphia, PA","Analyze and interpret the results including statistical analyses, and creating graphs/figures for data presentations and publications....",50000.0
28423,Philadelphia,Machine Learning Researcher,Jobspring Partners,"Philadelphia, PA","Experience with Data Mining. This agency, specializing in the healthcare industry, is seeking a Machine Learning Researcher to join their Data Science team....",115000.0
28466,Philadelphia,Machine Learning Engineer,Jobspring Partners,"Philadelphia, PA","They are looking for a Data Scientist, specialized in Machine Learning, to join their team. This team of Data Scientists analyze and predict industry data to...",135000.0
28473,Philadelphia,Home-based Clinical Drug Development Scientist,DOCS Global,"Philadelphia, PA",Developing the key elements of data review plans (in collaboration with Data Management) for clinical studies and performing medical data review during study...,155000.0
28501,Philadelphia,Mid Level Business Analyst,Jobspring Partners,"Philadelphia, PA","As a Business Analyst, you will work closely with developers, analysts, and data scientists to help deliver project deadlines....",72500.0
28515,Philadelphia,DevOps Engineer,Juno Search Partners,"Philadelphia, PA 19107 (City Center East area)","Their academic platform helps answer questions around data sharing and analysis, helping scientists and medical professionals make better decisions within...",110000.0
28526,Philadelphia,Principle Scientist,EPM Scientific,"Philadelphia, PA","Principal Scientist | Structure Elucidation. Excellent Written and Data Compiling Skills via IT Solutions. 130k – 160k + Bonus, Incentives, Vertical Progression...",145000.0
28541,Philadelphia,Senior Front-End Engineer,Jobspring Partners,"Philadelphia, PA",One will be a web-based application used by data scientists for machine learning purposes. Previous big data experience....,145000.0
28547,Philadelphia,Clinical Study Associate Trial Master File – TMF,inVentiv Health Clincal,"Collegeville, PA","At least 3 years’ experience from a CRO or Sponsor Company working in clinical research, clinical operations or data scientist roles (eg Study Manager, Clinical...",56000.0
28548,Philadelphia,Lead Machine Learning Engineer,Jobspring Partners,"Philadelphia, PA",Experienced with Data Mining. Experience working with machine learning and data mining are an absolute must....,132500.0
28555,Philadelphia,Senior Statistician/Data Scientist-PHARMA,Smith Hanley Associates,"Horsham, PA",Statistician/Data Scientist Responsibilities. Cleaning up Noise from data. 7+ years delivering data science outcomes....,120000.0
28569,Philadelphia,Data Scientist,Liberty Personnel Services,"Wilmington, DE",Data Scientist – Financial Environment – SQL R SAS. We are currently looking for a Data Scientist to join our team in Wilmington DE....,140000.0
28589,Philadelphia,"Sr. Mgr./Mgr., Statistician-SFE --PHARMA",Smith Hanley Associates,"King of Prussia, PA","Conduct statistical modeling and data analysis for SFE engagements and other commercial analytics areas, with methodology when it comes to data insight and...",115000.0
31991,Atlanta,Python Full Stack Engineer,"HireIQ Solutions, Inc.","Atlanta, GA",Work with our data scientist on our cutting edge machine learning toolset. Who we are*....,95000.0
32071,Atlanta,Data Scientist,Relus Technologies LLC,"Atlanta, GA","As a Data Scientist , you'll be involved analyzing complex data, generating insights, and creating classifiers and other solutions as needed from large data...",85000.0
32085,Atlanta,Health Scientist,Centers for Disease Control and Prevention,"Atlanta, GA","As a Health Scientist you will:. Identify and apply analytical methods, techniques, and tools to analyze and interpret data....",143516.0
32113,Atlanta,Research Informatics Analyst,Emory University,"Atlanta, GA",Knowledge of data and information systems standards relevant to the field of biomedical informatics and health systems.DATE CREATED/MODIFIED/REVISED:....,96900.0
32138,Atlanta,Data Scientist,Enterprise Select,"Duluth, GA",We are currently looking for an experienced Data Scientist to join their growing Analytics team. Strong understanding of algorithms and advanced data structures...,96400.0
32188,Atlanta,"Scientist, Asst Bioinformatics",Emory University,"Atlanta, GA","This role collaborates with researchers to develop high throughput data processing and analysis capability. Under minimal supervision, the Assistant Scientist,...",77600.0
32191,Atlanta,Prospect Research Analyst-Development and Alumni Relations,Emory University,"Atlanta, GA",Various personal computer software applications and familiarity with on-line data retrieval systems. Performs wealth estimations and assigns ratings based on...,53200.0
32201,Atlanta,"Accounting Policy, Research and Special Projects Senior Anal...",JSP Recruitment Services,"Duluth, GA","Accounting Policy, Research and Special Projects Senior Analyst Duluth, GA *Responsibilities of the Accounting Policy, Research and Special Projects",75000.0
32218,Atlanta,Bioinformatics Analyst,Emory University,"Atlanta, GA","Projects may also include analyses of other data types, such as longitudinal data, survival data, using conventional statistical methods....",64100.0
32228,Atlanta,Data Scientist,Principle Solutions Group,"Atlanta, GA","Requirements for the Data Scientist:. Data Scientist – Atlanta, GA - $110k/yr. Our client is looking for a Data Scientist to join their team in Atlanta, GA!...",110000.0
32265,Atlanta,"Scientist, Asc (AR) SOM",Emory University,"Atlanta, GA","The Staff Scientist Asc. Essential Responsibilities include developing software algorithms and tools for analysis and interpretation of medical image data,...",70600.0
32294,Atlanta,Program Coordinator,Emory University,"Atlanta, GA","Tasks will include regular updating of the Center website, archiving of biological data, archiving all correspondence with collaborators, acting as a liason...",53200.0
32295,Atlanta,Scientist (AR) SOM,Emory University,"Atlanta, GA","Provide guidance in data processing. Ensure that the core facility generates high quality cryo-EM data. Staff Scientists will have leadership responsibilities,...",85500.0
32305,Atlanta,Associate Scientist (AR) SOM,Emory University,"Atlanta, GA","This associate scientist additionally offers unparalleled stability. Apkarian Integrated Electron Microscopy Core at Emory seeks to appoint an enthusiastic,...",70600.0
32309,Atlanta,Data Scientist,Smith Hanley Associates,"Atlanta, GA",Requirements of the Data Scientist:. Analytical consulting company in Atlanta is seeking a Data Scientist with SAS and R experience to perform pricing analysis...,120000.0
32340,Atlanta,Statistical Analyst,Principle Solutions Group,"Roswell, GA",Ability to understand and manipulate data from multiple sources. Our client is looking for a Statistical Analyst to work in their R&D team to support the...,100000.0
32349,Atlanta,Sr. Biochemical Automation Workflow Engineer - RT,Absolute Opportunities,"Atlanta, GA",Fine-tuning sample preparation applications in collaboration with analytical chemists to optimize workflow data quality and meet customer needs....,110000.0
32350,Atlanta,Systems Software Engineer,Emory University,"Atlanta, GA",Strong willingness to adhere to the security restrictions inherent in environments that have sensitive data (such as patient data)....,86400.0
32356,Atlanta,Technical Editor,Emory University,"Atlanta, GA","The ideal candidate will write clear, concise technical documents integrating raw data and relevant published studies to support conclusions....",58300.0
32363,Atlanta,Senior Statistical Consultant,Principle Solutions Group,"Roswell, GA",Knowledge of credit bureau and alternative data a plus. 5+ years of experience in statistical credit risk modeling and quantitative data analysis....,120000.0
32372,Atlanta,Data Scientist - Supply Chain Analytics,Analytic Recruiting,"Atlanta, GA","Data Scientist, Supply Chain Analytics sought by Fortune 500 company to be part of a leading-edge predictive and prescriptive analytics....",107500.0
32396,Atlanta,Data Analyst,Veredus,"Atlanta, GA","Data Analyst, SQL, Data Scientist, Query. Data Analyst Skills & Requirements:. Help use data to drive operations decisions....",75000.0
32397,Atlanta,Statistician - Model Validation,Smith Hanley Associates,"Atlanta, GA","-Provide expertise in problem design, data development, model development, and ongoing model monitoring and validation. Smith Hanley Associates....",105000.0
32414,Atlanta,Certifying Scientist,Lighthouse Recruiting,"Atlanta, GA","Join our Medical Laboratory Scientists Groups:. A growing clinical toxicology laboratory in Atlanta, GA is seeking a Certifying Scientist with strong...",62500.0
36174,Dallas,Account Research Analyst,Real Time Resolutions Inc.,"Dallas, TX 75247 (Northwest Dallas area)","Review and record data from various online databases, client contacts, and internal departments in order to verify account information....",30000.0
36329,Dallas,Statistical Data Analyst,All-In Analytics,"Dallas, TX","Demonstrated ability to use SQL and SAS to extract data from multiple data sources. Actively participates in the development of data science tools to merge,...",85000.0
36340,Dallas,District Sales Manager,Anchor Point Technology Resources,"Dallas, TX","Ability to handle technical processes, data gathering, data analysis and technical sales processes. Client's scientists are globally located in R&D Centers of...",100000.0
36361,Dallas,Administrative Assistant,Medcillary,"Dallas, TX","With Medcillary, you will have the opportunity to work with some of the most experienced physician pathologists, surgeons, doctoral scientists, certified...",32000.0
36371,Dallas,Certifying Scientist,Lighthouse Recruiting,"Dallas, TX","Join our Medical Laboratory Scientists Groups:. Reviews drug confirmation data from the laboratory, compares with the initial screening data for accuracy and...",72500.0
36375,Dallas,"Method Development, Clinical Toxicology",Lighthouse Recruiting,"Dallas, TX 75240 (Far North area)",Analyzing and interpreting data and making sure that data is accurately recorded in accordance to guidelines....,70000.0
36385,Dallas,DIRECTOR OF MARKETING ANALYTICS,Cottonwood Financial,"Irving, TX 75038","7+ years of work experience as a Data Scientist, Statistician, Marketing Analyst, Risk Analyst, or other analytics roles in a consumer credit environment....",120000.0
40209,Columbus,Research Data Analyst,Ohio State University Medical Center,"Columbus, OH 43212","Experience with qualitative data analysis required; Participates in developing, implementing and maintaining protocol data;...",33600.0
40228,Columbus,Statistical Information Spec 1,Ohio State University Medical Center,"Columbus, OH 43212",Assists in data cleaning and data manipulation; Combines imaging data with data from other modalities to support research to develop predictive models for...,27200.0
40240,Columbus,Research Assistant 1-B/H,Ohio State University Medical Center,"Columbus, OH 43212",Transcribes investigational analysis into further structured data formats; Prepares secondary investigational analysis for review by senior scientists;...,21600.0
40253,Columbus,Senior Program Analyst,Rangam Consultants Inc.,"Columbus, OH 43219 (Northeast area)",Training new scientists and project managers. Strong verbal and written communications skills including the ability to translate complex data concepts to...,52800.0
40275,Columbus,Research Scientist,Ohio State University Medical Center,"Columbus, OH 43212","Extracts, compiles, analyzes and evaluates data to establish relevance to the problems being evaluated; Research Scientist to plan and develop an independent...",52500.0
40337,Columbus,Senior Research Statistician,Ohio State University Medical Center,"Columbus, OH 43212","Identifies or develops new statistical, analytical and data collection methods which may require programming of computer-intensive statistical and data methods...",78500.0
44336,Fort Worth,Packaging Scientist,Apex Life Sciences,"Fort Worth, TX","Interpret results, evaluate data, draw relevant conclusions, and write reports. Lead and manage all assigned project activities related to sterile primary...",36000.0
44348,Fort Worth,HSC Sr Research Scientist,Texas Tech Univ Health Sciences Ctr,"Dallas-Fort Worth, TX",Assist with all aspects of data collection. Contributes to the university's mission through research and service....,48000.0
44423,Fort Worth,DIRECTOR OF MARKETING ANALYTICS,Cottonwood Financial,"Irving, TX 75038","7+ years of work experience as a Data Scientist, Statistician, Marketing Analyst, Risk Analyst, or other analytics roles in a consumer credit environment....",120000.0
48456,Portland,Image Analyst (Research Associate),Oregon Health & Science University,"Portland, OR",Two part-time positions available. The duties of the Image analyst will involve evaluating medical images to assess the accuracy and edit anatomical,44000.0
48489,Portland,Corporate Research Analyst,DiscoverOrg,"Vancouver, WA","Verify entered data by reviewing, deleting, or modifying data. Prepare source data for entry by compiling and organizing data and researching incomplete or...",24000.0
48515,Portland,"Senior Analyst, Load Research (R17-196)",Portland General Electric,"Portland, OR 97204 (Downtown area)","Maintain large databases and data sets. Manipulate, transform and cleanse large data sets. Produce customer load profiles from hourly and higher frequency (e.g....",40536.0
48531,Portland,Industry Relations Manager,University of Portland,"Portland, OR","Compile, analyze, and report relevant data. Experience working in a setting with engineers, computers scientists, or similar technical professional fields....",60000.0
48535,Portland,OCTRI Navigator Assistant,Oregon Health & Science University,"Portland, OR",The Navigator Assistant collects and maintains data regarding investigator projects that utilize OCTRI services....,51500.0
48548,Portland,Research Scientist,"Najit Technologies, Inc.","Beaverton, OR","Record-keeping, computer analysis and graphing of data. We are a Beaverton-based, NIH-funded vaccine development company looking for a full-time, qualified...",42500.0
48559,Portland,Region 5 Regional Program Manager (WMS03) *03226-17,State of Washington,"Vancouver, WA","Makes well-informed, effective, and timely decisions, even when data are limited or solutions produce unpleasant consequences;...",78996.0
48566,Portland,Research Assistant 2,Oregon Health & Science University,"Portland, OR","Proficiency with desktop computers and large data set analysis including spreadsheet, statistical, and graphical software....",36000.0
48572,Portland,"Instructor and Program Chair, Medical Lab Technology",Portland Community College,"Portland, OR 97280 (Far Southwest area)","Compile and/or research data as may be assigned. Instructor and Program Chair, Medical Lab Technology....",70944.0
48576,Portland,Postdoctoral Scholar,Oregon Health & Science University,"Portland, OR",Genomic data analysis experience. Ability to gain the confidence of other scientists and staff. Experience with ChIP-sequencing and RNA-sequencing experiments...,47484.0
52579,Phoenix,Police Research & Data Analyst I/II+,City of Tempe Arizona,"Tempe, AZ","Must have knowledge of, and experience conducting, statistical analysis, research methods, data collection, coding, survey research, and database management OR...",63069.5
52599,Phoenix,Office Assistant/Receptionist Sr.,Arizona State University,"Tempe, AZ","Collects data to maintain such records. Enters data and review accounts, reports, records or other documents for completeness, accuracy and conformity within...",19200.0
52609,Phoenix,RESEARCH AND STATISTICAL ANALYST,Arizona Health Care Cost Containment System,"Phoenix, AZ","And conducts data analysis. Design methodology, write code, extract data and provide quality control of data for internal and external routine reporting...",47741.5
52636,Phoenix,Customer Service / Research Analyst,All About People,"Phoenix, AZ 85007 (Central City area)","Enter data, compiles and compose data reports. Excellent MS Outlook, Word, Excel, PowerPoint, Internet, typing and data entry skills....",20800.0
52644,Phoenix,Predictive Analytics (Machine Learning),"Kennedy Unlimited Inc, Professional Staffing","Phoenix, AZ","Salary 130K to 140K We are assisting our Client, an innovative NEW high growth leader, Are you looking for more responsibility, More challenge. Leadership",135000.0
52656,Phoenix,Account Manager,The Creative Group,"Phoenix, AZ 85016 (Camelback East area)","You're fascinated by data analytics:. You may not be a data scientist but you are in touch with AI, Analytics, and Marketing Automation software....",44000.0
52659,Phoenix,Public Health Scientist / Chemist,State of Arizona,"Phoenix, AZ",Navigate complex software programs pertaining to instrumentation and data review. The Public Health Scientist will provide capacity to both identify and...,50000.0
52665,Phoenix,Institutional Research Analyst (Open until Filled),Maricopa County Community College District,"Phoenix, AZ","Develops queries on data warehouses using data extraction tools such as Hyperion, Veera, and Alteryx. 40% - Manages data work flow processes for the college;...",55735.0
52669,Phoenix,Academic Success Specialist,Arizona State University,"Tempe, AZ","Utilizes a variety of university data and programmatic direction to promote student academic success. Students learn from nationally renowned faculty, to...",36530.0
52683,Phoenix,Web Security Research Analyst,SiteLock,"Scottsdale, AZ","About SiteLock: SiteLock is the global leader in website security, currently protecting more than six million websites globally. SiteLock delivers 360-degree",52500.0
52684,Phoenix,ENVIRONMENTAL OUTREACH SPECIALIST,State of Arizona,"Phoenix, AZ","Analyze environmental data to determine validity, quality, and scientific significance and to interpret correlations between data, human activities and...",55000.0
52686,Phoenix,AIR QUALITY PLANNER 2-3,State of Arizona,"Phoenix, AZ","Ability to present data and findings in public meetings. Collaborate with other Air Quality Sections, including air quality data assessment and monitoring team,...",61000.0
56825,Denver,Engineering/Physical Science Assistant III - Water Well Perm...,State of Colorado Job Opportunities,"Denver, CO","The majority of the time these positions perform data entry including well permit applications, substitute water supply plan applications, and change of...",48060.0
56909,Denver,Data Scientist,TechnoHealth,"Denver, CO","Sr Data Scientist. Predictive modeling , Python or R modeling, design/build data visualization and dashboard. NLP, DL, ML for AML/KYC/customer/product analytics...",150000.0
56931,Denver,SENIOR RESEARCH ANALYST,Denver Public Schools,"Denver, CO","Create, maintain and manage data views (end user view design). Collaborate with Digital Doors portal managers on student outcome data reports design and...",69673.0
56940,Denver,Statistical Research Specialist,Denver Health,"Denver, CO","Typically, one (1) or more years of healthcare data analysis working with supporting or. Under minimal supervision, coordinates and performs statistical...",66654.0
56960,Denver,Post-Doctoral Fellow,University of Colorado,"Aurora, CO","Synthesis of data presenting data at lab meetings, reviewing literature relevant to project and writing of manuscript. Collection and analysis of all data....",47477.0
57197,Denver,Senior Software Architect for Cybersecurity Industry Leader,Technical Integrity,"Boulder, CO 80303 (Southeast Boulder area)","Designing and building large-scale and performant distributed data processing systems:. The senior software architect, who will work directly to the Co-founder...",170000.0
60899,Houston,Computational Scientist,MD Anderson Cancer Center,"Houston, TX","Works closely with clinical scientists to understand data processing challenges and provide custom solutions for sequencing, gene expression, proteomics,...",95500.0
60903,Houston,Institute Associate Scientist I – Medicinal Chemistry,MD Anderson Cancer Center,"Houston, TX","Ability to analyze, interpret and present data at laboratory and departmental meetings • Participate in an integrated drug discovery research team • Interacts...",38350.0
60929,Houston,Research Scientist - Neuro-Oncology - Research,MD Anderson Cancer Center,"Houston, TX","Analyze appropriate data on a computer via keyboard. Enter certain results into computer via a keyboard, maintains all data in handwritten laboratory notebook....",64500.0
60930,Houston,Research Scientist - Thoracic H&N Med Oncology - Research,MD Anderson Cancer Center,"Houston, TX","Utilize image analysis system and/or microscope to analyze data and examine results. To maintain good, detailed experimental records, evaluate resulting...",64500.0
60933,Houston,Data Analyst Oil and Gas Market Research Experience,Adecco: USA,"Spring, TX",Demonstrated experience in creating growth and win-win consumer data stories through use of data analysis. Strong analytical skills including aggregation of...,88000.0
60945,Houston,Research Scientist,Rice University,"Houston, TX","The Research Scientist will provide basic instruction, when necessary to:. At the faculty’s request the Research Scientist provides brief demonstrations to...",59950.0
60949,Houston,Part Time Academic Research and Writing Policy Analyst Posit...,"Earl Carl Institute for Legal & Social Policy, Inc...","Houston, TX","Gathering data, using either existing information or generating new data through research. Beyond data analysis, these professionals must be able to process the...",22500.0
60951,Houston,"Research Scientist, Experimental Radiation Oncology",MD Anderson Cancer Center,"Houston, TX","Record Keeping and Data Collection:. The primary purpose of the Research Scientist position is to apply technical expertise and experience to plan, coordinate,...",64500.0
60952,Houston,Quality Assurance Analyst (Research),Baylor College of Medicine,"Houston, TX",Knowledge of next gen sequence data formats. The QA analyst will report to the Director of Project Development and will assist project managers in sample...,43794.0
60967,Houston,Research Admin Analyst,MD Anderson Cancer Center,"Houston, TX",Review institutional and other pertinent data to identify potential gaps in reported data. Review Conflict of Interest Data:....,63750.0
60976,Houston,Research Statistical Analyst - Biostatistics,MD Anderson Cancer Center,"Houston, TX","Assesses relevant literature as well as existing data, evaluates the quality of data used in reports and assists with preparation and distribution of data for...",83000.0
60978,Houston,Research Statistical Analyst,MD Anderson Cancer Center,"Houston, TX","Assesses relevant literature as well as existing data, evaluates the quality of data used in reports and assists with preparation and distribution of data for...",83000.0
60979,Houston,Institute Research Scientist - Translational Biology,MD Anderson Cancer Center,"Houston, TX",Work with research and bioinformatics teams to utilize internal biological and oncogenomic data sets to generate and test biological hypotheses....,118500.0
60982,Houston,Research Scientist - Molecular & Cellular Oncology,MD Anderson Cancer Center,"Houston, TX",Analyze gene/protein expression data from TCGA data set; To enhance educational programs for next generation scientists;...,64500.0
60998,Houston,Research Statistical Analyst -Bioinformatics & Computational...,MD Anderson Cancer Center,"Houston, TX",Data used in reports and assists with preparation and distribution of data for. Measurement and analysis of data....,83000.0
61026,Houston,Institute Associate Scientist II – Protein Production,MD Anderson Cancer Center,"Houston, TX",Analyze data and prepare written and oral reports to project teams. Participate in integrated drug discovery research teams by engaging in interaction with...,64750.0
61039,Houston,Senior Research Assistant - Neurosurgery Research,MD Anderson Cancer Center,"Houston, TX",Research scientists to design experiments involving genetically modified T. Computer skills including the ability to enter data obtained....,47500.0
61040,Houston,Institute Assoc Scientist III - Neurodegeneration Consort,MD Anderson Cancer Center,"Houston, TX",Analyze data and prepare written and oral reports to project teams. Participate in an integrated drug discovery research team by engaging in interaction with...,78250.0
61053,Houston,Medical Lab Scientist,The University of Texas Medical Branch,"League City, TX","Medical Lab Scientist, Lab Services - Victory Lakes Pathology (evenings). Performs, records and evaluates quality control data according to procedures including...",67000.0
